timestep,episode_return,h_max,h_mean,v_max,goal_reached,ep_length
74000,-1025.741,0.4985,0.1271,3.213,0,500
74500,-602.76,0.4984,0.1868,3.036,1,500
75000,-1015.921,0.4948,0.1339,4.408,0,500
75500,-441.524,0.4955,0.2296,1.876,1,500
76000,-212.729,0.4824,0.26,3.869,0,500
76500,-410.062,0.4833,0.2488,1.946,0,500
77000,-2842.781,0.2289,-0.2583,7.842,0,500
77500,-1988.805,0.4947,-0.096,3.061,0,500
78000,-440.329,0.4961,0.2306,4.511,1,500
78500,-2676.676,0.4629,-0.234,1.855,0,500
79000,-402.419,0.4646,0.2516,2.905,0,500
79500,-1785.647,0.4269,-0.0554,1.38,0,500
80000,-218.808,0.49,0.2762,3.507,1,500
80500,-428.578,0.4905,0.23,2.036,1,500
81000,-2851.273,-0.0817,-0.2632,5.973,0,500
81500,-960.187,0.391,0.1075,2.031,0,500
82000,-2562.342,0.4789,-0.2034,6.542,0,500
82500,-890.434,0.48,0.1513,1.566,0,500
83000,-1365.029,0.4973,0.029,1.926,0,500
83500,-662.127,0.4978,0.1956,5.009,0,500
84000,-212.907,0.3128,0.2583,2.93,0,500
84500,-343.018,0.467,0.2359,4.884,0,500
85000,-1132.16,0.496,0.1186,7.192,0,500
85500,-418.972,0.4965,0.2251,2.774,0,500
86000,-2182.653,0.4877,-0.1315,4.55,0,500
86500,-928.816,0.4947,0.1474,4.324,1,500
87000,-709.263,0.4948,0.1741,3.46,0,500
87500,-1063.871,0.4955,0.1234,4.555,0,500
88000,-627.712,0.4955,0.2011,2.908,0,500
88500,-233.409,0.4922,0.2581,5.313,0,500
89000,-403.449,0.4935,0.2351,2.826,0,500
89500,-397.587,0.4887,0.2446,4.008,0,500
90000,-544.008,0.4954,0.2458,9.137,0,500
90500,-484.806,0.4958,0.2281,2.034,0,500
91000,-999.912,0.4814,0.1358,4.929,0,500
91500,-353.286,0.4716,0.2636,3.133,0,500
92000,-469.503,0.4972,0.2509,7.238,1,500
92500,-443.282,0.4978,0.2226,2.86,1,500
93000,-2612.837,0.4881,-0.214,6.946,0,500
93500,-923.077,0.4881,0.1458,3.84,0,500
94000,-203.971,0.4948,0.2648,5.043,0,500
94500,-668.509,0.4988,0.1958,2.876,0,500
95000,-455.274,0.499,0.2141,3.169,0,500
95500,-397.277,0.4571,0.2559,5.596,0,500
96000,-2852.17,0.0175,-0.2646,5.547,0,500
96500,-506.093,0.388,0.1999,3.181,0,500
97000,-2696.681,-0.094,-0.2378,4.25,0,500
97500,-2916.202,-0.1842,-0.273,8.562,0,500
98000,-2219.396,0.3836,-0.1406,3.88,0,500
98500,-200.341,0.4849,0.2781,4.424,0,500
99000,-396.618,0.4855,0.2425,2.023,0,500
99500,-381.3,0.4787,0.2526,2.31,0,500
100000,-2750.232,-0.1167,-0.2399,12.575,0,500
